			LA	 				
Alston Cemetery	Pilgrim Rest Road	DeQuincy	LA	 70633	337-786-2738			
Alvin J McKinney Cemetery	21900 Perrion Ferry Road	Springfield	LA	 70462	225-294-4753			
Amazon Baptist Church Cemetery	Bayou Lac Road Cutoff	Bunkie	LA	 71322	318-792-5378			
Amite Baptist Church Cemetery	7100 Amite Church Road	Denham Springs	LA	 70706	225-665-2762			
Amite Memorial Gardens	S. Laurel Street	Amite	LA	 70422	985-748-8761			
Andrews Cemetery	Ford's Creek	Manifest	LA	 71342	318-992-4863			
Andrews Chapel Cemetery	Franklin Road	Heflin	LA	 71039	318-371-1941			
Andrus Cove Cemetery	Andrus Cove Area	Lake Arthur	LA	 70549	337-774-3144			
Andrus Family Cemetery	Highway 102	Jennings	LA	 70546	337-249-2216			
Andy & Bennie Stark Family Cemetery	515 Pullem Branch Road	Merryville	LA	 70653	337-825-6113			
Angelloz Family Cemetery	20875 Hwy 77	Grosse Tete	LA	 70740	225-648-2036			
Anglin Family Cemetery	32267 Brewer Rd.	Bush	LA	 70431	985-886-5854			
Anointing Deliverance Resting Place	303 South Live Oak Street	Simmesport	LA	 71369	318-941-2054			
Antioch Baptist Church Cemetery	Edgerly-DeQuincy Hwy.	Edgerly	LA	 70668	337-583-4403			
Antioch Baptist Church Cemetery	16461 OLd Spanish Trail	Des Allemands	LA	 70770	504-210-9675			
Antioch Baptist Church Cemetery	La. Highway 977	Maringouin	LA	 70757	225-648-2575			
Antioch Baptist Church Cemetery	5075 Hwy. 361	Goudeau	LA	 71338	318-939-2229			
Antioch Cemetery	Antioch Road	Quitman	LA	 71268	318-259-7325			
Antioch Cemetery	Highway 126	Goldonna	LA	 71031	318-259-8622			
Antioch Cemetery	Antioch Lane	Paulina	LA	 70763	225-869-9699			
Antioch Cemetery	41 Antioch Rd.	Rayville	LA	 71269	318-728-6635			
Antioch Cemetery	4100 Hwy. 544	Simsboro	LA	 71275	318-247-1645			
Antioch Cemetery	Kinchen Road	Tickfaw	LA	 70466	985-345-9314			
Antioch Missionary Baptist Church Cemetery	La. Hwy. 451	Rexmere	LA	 71320	318-623-2075			
Antioch Primitive Baptist Ch Cemetery(Baywood Cem)	Hwy. 338	Edgerly	LA	 70668	337-583-4403			
Apalachee Indians Graveyard	259 Libuse Cutoff Road	Pineville	LA	 71360	318-561-2333			
Arceneaux Cemetery	Charter Road	Rayne	LA	 70578	337-334-3137			
Arcola Roseland Cemetery	Hill Street	Roseland	LA	 70456	985-748-8421			
Ardoin Gauthier Family Cemetery	915 Hwy. 3043	Opelousas	LA	 70570	337-856-6610			
Arkadelphia Cemetery	1903 Arkadelphia Road	Pitkin	LA	 70656	337-328-7967			
Arlington Cemetery	Hwy. 146 - White Lightning Road	Homer	LA	 71040	318-927-3555			
Arnold Family Cemetery	Corner of S. Airport Rd & Alia Lane	Hammond	LA	 70403	985-785-9558			
Arthur Asher Tiffee Cemetery	Hwy. 907	Monterey	LA	 71354	318-386-2246			
Arthur Parsley Cemetery	1760 Evangeline Hwy.	Evangeline	LA	 70537	337-246-3128			
Asberry Independent Methodist Church Cemetery	31755 Laurel Ridge Road	White Castle	LA	 70788	225-545-3641			
Ascension Catholic Cemetery	716 Opelousas St	Donaldsonville	LA	 70346	225-473-3176			
Ashford Cemetery	Ashford Cemetery Road	Eunice	LA	 70535	337-457-7237			
Ashton-McIntyre Cemetery	Shelton Road	Bastrop	LA	 71220	318-283-4087			
Assumption Catholic Cemetery	5604 Royal St	Plattenville	LA	 70393	985-369-6656			
Assumption Cemetery	1008 South Hillman Street	Basile	LA	 70515	337-432-6817			
Atkison Cemetery	197 Caples Road	West Monroe	LA	 71292	318-325-3863			
Aucoin Family Cemetery	3330 Cottongin Castor Road	Oberlin	LA	 70655	337-580-5928			
Aulds Family Cemetery	3504 David Allen Road	Greensburg	LA	 70441	225-222-6286			
Aultman & Cassidy Family Cemetery	346 Young Road	DeQuincy	LA	 70633-6302	337-786-6371			
Averett Family Cemetery	Lacey Lee Lane	Loranger	LA	 70466	985-878-9504			
Aymond Family Cemetery	La. Hwy. 3723	Bunkie	LA	 71322	318-359-7185			
Azalea Rest Cemetery	Scenic Highway	Zachary	LA	 70791	225-570-2501			
B & K Family Cemetery	10004 Keatchie Marshall Road	Keatchie	LA	 71046	318-933-9601			
B and B Family Cemetery	262 Bill Winn Road	Oakdale	LA	 71463	318-452-1029			
Bab A-Rahma Cemetery	488 Harvey Blvd.	Belle Chasse	LA	 70037	504-813-7870			
Baham Stewart Family Cemetery	29180 Cliff Baham Road	Independence	LA	 70443	985-878-6687			
Bailey Cemetery	267 Bailey Road	Provencal	LA	 71468	318-472-6330			
Bailey Family Cemetery	361 Cortez Lane	Haynesville	LA	 71038	318-368-1088			
Baldassaro Cemetery	44358 Hwy 38	Franklinton	LA	 70438	985-839-5064			
Baldwin Catholic Cemetery	100 Bollard St	Baldwin	LA	 70514	337-923-7781			
Ball Cemetery	32505 Neilson Road	Franklinton	LA	 70438	985-848-2235			
Bankston-Elliott-Dyson Cemetery	Jeff Bankston Road	Amite	LA	 70442	225-766-7810			
Barber Cemetery	41451 Hwy 438	Mt. Hermon	LA	 70450	985-877-9922			
Barker/McManus Memorial Cemetery	Highway 1129	Covington	LA	 70433	985-892-1485			
Barnes and Barks Family Cemetery	4836 Lou Farley Road	Starks	LA	 70661	337-743-5313			
Barnes Family Cemetery	18890 Perkins Road	Norwood	LA	 70761	225-683-5528			
Barnett's Cemetery	3711 Hwy. 818	Ruston	LA	 71270	318-254-2100			
Barney Morace Cemetery	613 Hwy. 908	Monterey	LA	 71354	318-386-7441			
Bartholemew Cemetery	Hwy. 140	Bastrop	LA	 71220	318-669-4983			
Baskin Cemetery	200 Roger Miller Road	Baskin	LA	 71219	318-435-6648			
Batchelor Cemetery	3772 Hecker Road	Iowa	LA	 70647	337-526-1213			
Bates Cemetery	1506 Koonce Road	Sulphur	LA	 70663	337-527-0755			
Bayou Jacque Church of Christ Cemetery	Jim's Camp Road	Bayou Jacque	LA	 71362	337-359-9199			
Bayou Lacombe Cemetery	 Williams Cemetery	Lacombe	LA	 70445	LA			
Bayou Lacombe Cemetery/Williams Cemetery, II	28624 LaBostvie Street	Lacombe	LA	 70445	985-630-4133			
Bayou Rouge Baptist Cemetery	133 Church Street	Evergreen	LA	 71333	318-346-7063			
Baywood Perkins Cemetery	Greenwell Springs Road	Baton rouge	LA	 70770	225-927-7347			
Bazer Tranquility Family Cemetery	La. State Hwy. 417	Batchelor	LA	 70715	225-505-2043			
Beach Grove Cemetery a/k/a Hickory Nut Cemetery	Risk Road #961	Clinton	LA	 70722	225-683-8954			
Beard	17818 Hwy. 105	Bayou Current	LA	 71353	337-623-5285			
Beau Pre' Memorial Park	7605 East Old Spanish Trail	Jeanerette	LA	 70544	337-276-9321			
Beauty Hill Family Cemetery	30080 Rue de le Bois	Springfield	LA	 70462	225-695-3361			
Beauvais Family Cemetery	4302 Quiet Lane	Ethel	LA	 70730	225-634-3245			
Beaver Creek Cemetery	Beaver Creek Community	Oakdale	LA	 71463	337-335-2131			
Beech Ridge Cemetery	Magnolia Estates	Denham Springs	LA	 70726	225-665-9020			
Begnaud Cemetery	3320 Hwy. 105	Simmesport	LA	 71369	337-232-2651			
Belah Cemetery	Hwy. 773	Jena	LA	 71342	318-992-4403			
Belaire Cove Cemetery	Belaire Cove	Ville Platte	LA	 70586	337-363-2989			
Belgard Cemetery	Donnie Price Road	Deville	LA	 71328	318-466-3531			
Bell Baptist Church Cemetery	300 Hackberry Lane	Luling	LA	 70070	985-785-1372			
Belle Bower Cemetery	Speights Road	Keatchie	LA	 71051	281-391-8078			
Belle Grove Cemetery	Decator Street	Kenner	LA	 70062	504-388-7253			
Belledeau Baptist Church Cemetery	Hwy. 114  Belledeau Road	Hessmer	LA	 71341	318-563-8569			
Bellevue Cemetery	Old Cotton Valley Road	Haughton	LA	 71037	unpublished			
Bellevue Memorial Park	4833 Hwy 182 S.	Opelousas	LA	 70570	337-942-7055			
Bellevue-Fitzpatrick-Landry Family Cemetery	12118 E. Admiral Doyle Dr.	Jeanerette	LA	 70544	337-276-6813			
Belstine Cemetery	Whitstine Road	Glenmora	LA	 71433	318-748-6281			
Ben Passman Memorial Cemetery	49263 Joe Passman Road	Franklinton	LA	 70438	985-848-2842			
Ben's Ford Missionary Baptist Church Cemetery	59071 Hwy. 439	Bogalusa	LA	 70427	985-516-0054			
Bennie Hill Cemetery	650 Crescini Drive	Anacoco	LA	 71403	337-208-5696			
Benoit Cemetery	1950 Cemetery Road	Ville Platte	LA	 70586	337-879-6615			
Bentley Family Plots	1248 Jean Chapel Rd.	Leesville	LA	 71446	337-434-3148			
Benton Colored Community Cemetery	Fifth Street	Benton	LA	 71006	318-965-0458			
Bergeron Oak Cemetery	Anse La Butte - Bergeron Road	Breaux Bridge	LA	 70517	337-332-5598			
Bernice Cemetery	Cemetery Street	Bernice	LA	 71222	318-285-9071			
Bertrand Cemetery	Ponchoville Road	Hathaway	LA	 70546	337-329-2458			
Bertrandville Cemetery	Bertrandville Road	Bertrandville	LA	 70040	504-874-2084			
Berwick Memorial Cemetery	Corner of 4th & Ceylon Sts	Berwick	LA	 70342	985-384-8858			
Bethany Community Cemetery	Hwy. 1221	Marthaville	LA	 71450	601-932-2209			
Bethany Cumberland Presbyterian Cemetery	458 Bethany Presbyterian Church Road	Coushatta	LA	 71019	318-932-5414			
Bethany World Prayer Center Cemetery	13855 Plank Road	Baker	LA	 70714	225-774-1700			
Bethea Cemetery	Billy Kid Road	DeRidder	LA	 	318-894-6013			
Bethel Church Cemetery	302 Parish Road	Coushatta	LA	 71019	318-932-9393			
Bethel Methodist Church Cemetery	Intersection of W. Congress & Hwy. 343	Duson	LA	 70529	337-334-4362			
Bethel United Methodist Church Cemetery	17022 Liberty Road	Pride	LA	 70770	225-936-0404			
Bethlehem Baptist Church Cemetery	Smith Street	Hahnville	LA	 70057	985-783-2624			
Bethlehem Baptist Church Cemetery	Hwy. 93  South	Sunset	LA	 70584	337-594-9255			
Bethlehem Baptist Church Cemetery	29350 S. Montpelier Road	Albany	LA	 70711	985-974-0104			
Bethlehem Cemetery	2777 Hwy. 1232	Winnfield	LA	 71483	318-727-4498			
Bethsaida Cemetery	Ida Stateline Road	Ida	LA	 71044	318-284-3231			
Beulah Cemetery	2279 Hwy. 487	Marthaville	LA	 71450	318-472-6836			
Bible Baptist Church of Thomas Cemetery	29569 Hwy. 424	Franklinton	LA	 70438	985-848-4673			
Big Bend Baptist Church Cemetery	12772 Hwy. 451	Hamburg	LA	 71339	318-985-2528			
Big Cane Baptist Cemetery	Big Cane Area	Morrow	LA	 71356	337-346-6750			
Big Creek Cemetery	Dyson Creek Road	Pollock	LA	 71467	318-765-3767			
Big Lake Cemetery	Grand Lake Cemetery Road	Grand Lake	LA	 70607	337-660-1495			
Bikur Sholim Cemetery	St. Patrick St.	Donaldsonville	LA	 70346	225-473-7135			
Birtrue Jenkins Family Cemetery	Birtrue Road, Hwy. 40	Bush	LA	 70431	985-892-5216			
Bishop Family Mausoleum	44527 Hwy. 429	St. Amant	LA	 70774	225-644-4280			
Bishop's Courtyard	412 North St.	Baton Rouge	LA	 70802	225-387-5928			
Bisland Cemetery	597 Country Dr.	Bourg	LA	 70343	985-873-6567			
Black Bayou Cemetery	Big Lake Road	Lake Charles	LA	 70607	337-493-3026			
Black Lake Cemetery	330 Sandy Point Road	Campti	LA	 71411	504-436-4820			
Blackwater United Methodist Cemetery	10000 Blackwater Road	Baker	LA	 70714	225-2936-042			
Blue Branch Cemetery	13408 Hwy. 10	Pitkin	LA	 70656	318-358-3412			
Bogalusa Cemetery	Anthony Fiorenzia Drive	Bogalusa	LA	 70429	985-732-6213			
Bon Pasteur Cemetery	951 S. Simons	Welsh	LA	 70591	337-734-3446			
Bon Sejour Cemetery	1920 Woodvine Dr(DeVal Estates)	Mandeville	LA	 70471	985-626-3671			
Bone Ranch Cemetery	1114 Woods Road	Vinton	LA	 70668	337-589-4023			
Bonette Family Cemetery	436Pecan Street	Simmesport	LA	 71369	318-941-2772			
Boone Family Cemetery	170 Coldiron Road	Jonesville	LA	 71343	318-339-6196			
Booneville MemorialUnited Methodist Church Cemeter	Highway 71	Cheneyville	LA	 71325	318-346-4822			
Booth Cemetery	Booth Cemetery Road	Cotton Valley	LA	 71018	318-205-3213			
Bostick Family Cemetery	3418 Hwy. 17	Pioneer	LA	 71266	318-926-4568			
Bougere Baptist Church Cemetery	18319 Hwy 15	Deer Park	LA	 71373	318-336-8413			
Bouie Cemetery	Hwy. 8  East	Rhinehart	LA	 71363	920-659-9888			
Bourgeois Family Cemetery	5108 Belle Terre Rd.	Marrero	LA	 70072	504-340-0529			
Boutte Family Cemetery	1115-A Fontelieu Road	St. Martinville	LA	 70582	337-364-8075			
Bowden Cemetery	252 Bowden Road	Pleasant Hill	LA	 71065	318-796-2209			
Boyd Holley Family Cemetery	3797 Levee Road	Bastrop	LA	 71220	318-281-9788			
Boykins & Ardoin Rose Garden	1282 Saint John Road	Ville Platte	LA	 70586	337-363-9319			
Boyle & George & Family Cemetery	462 Douglas Road	Dry Prong	LA	 71423	318-899-3929			
Brabham Cemetery	Old Tangipahoa Road	Greensburg	LA	 70441	225-222-3964			
Bradford - Jones Cemetery	250 Bennie Lane	Jena	LA	 71342	318-922-6649			
Branch Cemetery	150 Homefront Road	Saline	LA	 71070	318-576-8831			
Branch Methodist Cemetery	Branch Highway - John Wesley	Branch	LA	 70516	337-334-5010			
Braziel Baptist Church Cemetery	52710 Cannonburg Road	White Castle	LA	 70788	225-241-4437			
Briar Patch Cemetery	Briar Patch Cemetery Road	Loranger	LA	 70446	985-878-2418			
Briar Rose Cemetery	11145 Highway 1129	Franklinton	LA	 70435	225-262-6335			
Bridges Family Cemetery	3604 Hwy. 118	Florien	LA	 71429	318-315-4334			
Broadwell Family Cemetery	Thompson Road	Slidell	LA	 70459	985-643-5000			
Brock Family Cemetery	29308 White Hayes Creek Road	Clifton	LA	 70438	985-839-9422			
Brookter Cemetery	McManus Road	Slidell	LA	 70461	985-643-1356			
Brouillette Cemetery	1253 Jessie Latin Road	Gloster	LA	 71030	318-422-6288			
Broussard Cemetery	2500 Migues Road	New Iberia	LA	 70560	337-967-2401			
Broussard Cemetery Annex	6119 Noel Road	New Iberia	LA	 70560	337-364-4985			
Brown Family Cemetery	12609 Friel Lane	Norwood	LA	 70761	225-683-9318			
Brown Family Cemetery	Brown Villa Road	Kentwood	LA	 70444	225-933-6493			
Brown Family Cemetery	1026 Hwy 960	Clinton	LA	 70722	225-629-5642			
Brown's Cemetery	2349 Lishman Road	Gilbert	LA	 71336	318-435-7437			
Brown's Family Cemetery	964 Tillman Rd	Heflin	LA	 71039	318-377-0483			
Buckhorn Cemetery	751 Thompson Cemetery	Castor	LA	 71016	318-544-8837			
Bud Hippler Estate Cemetery	9756 Texas Hwy.	Many	LA	 71449	318-315-4842			
Buena Vista Baptist Church Cemetery	10633 Hwy 18	St. James	LA	 70086	225473-7698			
Buena Vista Cemetery	10633 Hwy. 18	St. James	LA	 70084	225-473-7698			
Bull Sprig Family Cemetery	660 Bull Sprig Road	Greensburg	LA	 70441	225-222-4632			
Bunny Lane Cemetery	13920 Bunny Lane	Franklinton	LA	 70438	985-839-6992			
Burl Belle Family Cemetery	Hwy. 84  West	Wildsville	LA	 71377	318-757-6376			
Burns Cemetery	Burns Road	Haughton	LA	 71037	318-226-1105			
Butler Greenwood Family Cemetery	8345 U.S. Hwy. 61	St. Francisville	LA	 70775	225-635-6312			
Butter Cemetery	381 Butter Cemetery Road	Forest Hill	LA	 71430	318-748-6647			
Butterfield Cemetery	199 Shammah Road	Dry Prong	LA	 71423	318-899-5789			
Buttitta Family Cemetery	84 Amite Road	Rayville	LA	 71269	318-396-4331			
C & C Jackson Memorial Cemetery	18071 Hwy 933	Prairieville	LA	 70769	225-622-1020			
C L Jones Cemetery	471 Fairfield Road	Dry Prong	LA	 71423	318-899-5908			
Cain Ridge #1 Missionary Baptist Church Cemetery	Hwy. 596	Lake Providence	LA	 71254	318-559-9074			
Calhoun Cemetery	Indian Village Road	Clayton	LA	 71334	318-757-8534			
Calvary Baptist Church Cemetery	Seven Pine Road	Benton	LA	 71006	318-861-7873			
Calvary Catholic Cemetery	Roberts Avenue	Jennings	LA	 70546	337-824-0168			
Calvary Cemetery(Maus. of Resurrection)	Breaux Bridge Road	Lafayette	LA	 70501	337-234-5147			
Calvary Hill Cemetery	354 Coulee Croche Road	Sunset	LA	 70584	337-668-4560			
Calvary United Methodist Church Cemetery	Goode Street	Thibodaux	LA	 70301	985-447-2782			
Camarata Family Cemetery	3444 Hwy. 360	Melville	LA	 71353	479-981-2499			
Camp Creek Cemetery	Camp Creek Church Road	Spearsville	LA	 71277	318-778-3859			
Camp Ground Cemetery	662 Melder Road	Glenmora	LA	 71433	318-748-8330			
Camp Zion Cemetery	Camp Zion Road	Haughton	LA	 71037	318-949-0649			
Campbell Cemetery	Magnolia Plantation/7281 Hwy 129	Monterey	LA	 71354	318-386-2384			
Cancienne Family Cemetery	25069 Hwy 430	Franklinton	LA	 70438	985-795-8395			
Caney Lake Baptist Church Cemetery	10030 Hwy. 4	Chatham	LA	 71226	318-249-2261			
Carboni Family Cemetery	19520 Florida Street	Livingston	LA	 70754	225-603-2196			
Carl Vernon Corley Cemetery	Plank Road	Zachary	LA	 70791	225-654-9080			
Carmel Catholic Cemetery	305 Jefferson	Carmel	LA	 71052	318-872-1158			
Carolina Bluff New Cemetery #2	Carolina Bluff Road	Benton	LA	 71006	318-326-7818			
Carolina Cemetery	Carolina Church Road	Saline	LA	 71070	318-576-3006			
Carroll-Hopkins Cemetery	12507 Hwy 585	Oak Grove	LA	 	318-428-3584			
Carrollton Cemetery	5034 Tchoupitoula Street	New Orleans	LA	 70115	504-658-3781			
Carter Cemetery	Carter Cemetery Road	Springfield	LA	 70462	225-734-2271			
Carter Family Cemetery	2550 White Road	Vinton	LA	 70668	562-676-8704			
Carter Memorial Cemetery	Park Road	Kinder	LA	 70648	337-738-5700			
Carver Memorial Cemetery	498 Kennie Road	Shreveport	LA	 71106	318-686-1168			
Casborn Cemetery	62429 Louand Drive	LaComb	LA	 70445	985-882-5036			
Castor Baptist Church Cemetery	Slagle Road	Leesville	LA	 71446	318-239-2004			
Cathedral of St. John Berchmans Prayer Garden	939 Jordan Street	Shreveport	LA	 71101	318-221-5296			
Catholic Cemetery	5th Street	Natchitoches	LA	 71457	318-352-3822			
Catholic Cemetery	Pelican Hwy.	Oakdale	LA	 71463	318-335-3780			
Catholic Cemetery of Maurice LA	8700 Maurice Ave.	Maurice	LA	 70555	337-893-4099			
Cauley Thomas Cemetery	52432 Hwy. 438	Franklinton	LA	 70438	985-848-5120			
Causey Family Cemetery	257 Shallow Hole Road	Oakdale	LA	 71463	318-335-4942			
Cedar Grove Chruch of God Cemetery	19984 Pride Baywood Rd	Greenwell Springs	LA	 70739	225-654-8837			
Cedar Hill Cemetery	West Vine St.	Washington	LA	 70589	337-826-3626			
Cedar Ridge Cemetery	1583 Hwy 908	Monterey	LA	 71354	318-719-9447			
Cemetery #1 (Old Cemetery)	Old Cemetery Road	Marksville	LA	 71351	318-441-2746			
Cemetery #2 (Kelone Cemetery)	Hwy 1194	Marksville	LA	 71351	318-441-2746			
Cemetery for the Convent of the Sacred Heart	1821 Academy Road	Grand Coteau	LA	 70541	337-662-5275			
Center Church Cemetery	Highway 1043	Greensburg	LA	 70441	225-222-6212			
Centerville Presbyerian Cemetery	9089 Hwy 182	Centerville	LA	 70522	337-201-0398			
Central Cemetery	Central Loop	Robeline	LA	 71469	318-332-0829			
Central Louisiana State Hospital Cemetery	242 West Shamrock St.	Pineville	LA	 71360	318-484-6202			
Centuries Memorial Park	8801 Mansfield Rd.	Shreveport	LA	 71108	318-686-4334			
Cezar's Cemetery	L'anse Prien Noir Road	Mamou	LA	 70554	337-639-2520			
Chalk Hill Cemetery	Chalk Hill Road	Trout	LA	 71371-9745	318-715-4099			
Chapel of Christ  Redeemer Columbarium	1700 Maplewood Dr.	Sulphur	LA	 70663	337-625-4288			
Charbonnet Cemetery	Weinberger Road	Ponchatoula	LA	 70454	985-370-0450			
Charenton Catholic Cemetery	3041 Chitimacha Trail	Charenton	LA	 70523	985-923-4281			
Charles Lee Memorial Cemetery	195 Jim Lee Road	Provencal	LA	 71468	318-472-6347			
Charles McIntyre Cemetery	21147 Highway 440	Kentwood	LA	 70444	985-229-6969			
Chatham Cemetery	Hwy. 4	Chatham	LA	 71226	318-249-2262			
Chelette Cemetery	1063 Baudry Road	Colfax	LA	 71417	318-627-5560			
Chenal Cemetery	Hwy 414	Jarreau	LA	 70749	225-627-5124			
Chenier Cemetery	472 Deprima Lane	Opelousas	LA	 70570	337-308-4599			
Cheramie Cemetery	10054 East Peckwood Road	Kentwood	LA	 70444	985-514-3662			
Cheramie Cemetery & Mausoleum #1	17391 E Main	Galliano	LA	 70354	985-696-7559			
Chevra Thilim Cemetery	4824 Canal St.	New Orleans	LA	 70119	504-782-7218			
Chevra Thilim Memorial Park Cemetery	5000 Iberville St.	New Orleans	LA	 70119	504-782-7218			
Chimneyville Missionary Baptist Church Cemetery	Chimneyville Cemetery Road	Garland	LA	 71322	337-826-3020			
China Grove Missionary Baptist Church Cemetery	White Road	Lake Providence	LA	 71254	318-559-8871			
Christ Church Cathedral Columbarium	2919 St. Charles Avenue	New Orleans	LA	 70115-4498	504-895-6602			
Christ Church Cemetery	South Marable St.	Bastrop	LA	 71220	318-283-3337			
Christ Sanctified & Holy Church Cemetery	233 Odessa Road	Duson	LA	 70529	337-898-2925			
Christ Sanctified Holy Church Cemetery	Avenue E @ 10th St.	Westwego	LA	 70094	504-722-7682			
Christ the King Catholic Church Cemetery	705 Main St.	Simmesport	LA	 71369	318-941-2381			
Christian Baptist Church Cemetery	Bayou Delac Road	Bunkie	LA	 71322	318-346-7427			
Christian Cemetery	Bayou Road	Cheneyville	LA	 71325	318-279-2549			
Christian Family Cemetery	7706 Highway 107	Mansura	LA	 71350	318-964-2392			
Christian Friendship Benevolent	2000 Brignac Lane	Paulina	LA	 70763	504-869-9186			
Christian Jubilee Fellowship Cemetery	133 Nucere Road	Hessmer	LA	 71341	318-563-9688			
Christian Social Cemetery	12th & Lafayette Street	Gretna	LA	 70053	504-366-8484			
Church of Christ Cemetery	513 Northwest Railroad Ave.	Ville Platte	LA	 70586	337-363-0613			
Church of God Cemetery	Doty Road	Ferriday	LA	 71334	318-758-3978			
Church of Jesus Christ of Tangipahoa Cemetery	61133 N. Laiche Road	Amite	LA	 70422	985-747-0292			
Church of the Assumption	6080 Mire Hwy	Church Point	LA	 70525	337-873-6574			
Church Point Baptist Church Cemetery	2145 Lawtell Highway	Church Point	LA	 70525	337-684-2556			
Circle M	568 Hilton Lane	Amite	LA	 70422	337-984-5846			
Circle P Cemetery	121 Reech Road	Pollock	LA	 71467	318-765-9469			
City Indigent Cemetery	Old Gentilly Boulevard	New Orleans	LA	 70126	504-658-3781			
City of Lake Charles Cemetery	326 Pujo Street	Lake Charles	LA	 70601	337-491-1251			
Clark Family Cemetery	17343 Hwy. 105	Melville	LA	 71353	337-623-4430			
Clayton Garden of Rest Cemetery	201 Hwy. 900	Clayton	LA	 71326	318-757-4310			
Clear Springs Cemetery	Clear Springs Cemetery Road	Coushatta	LA	 71019	318-932-5105			
Clifton Pendarvis Memorial Cemetery	15380 Penny Lane	Maurepas	LA	 70449	225-695-3328			
Cloutierville Cemetery	100 Main Street	Cloutierville	LA	 71416	318-379-2231			
Coates-Perritt Family Cemetery	854 Passman Road	Monterey	LA	 71354	318-386-7629			
Coax Private Cemetery	Coax Road	Winnsboro	LA	 71295	318-435-8339			
Collier Family Cemetery	453 Hwy 610	Delhi	LA	 71232	318-373-8100			
Collins Cemetery	Lee's Landing Road	Ponchatoula	LA	 70454	985-386-8298			
Collins Family Cemetery	194 Cannon Road	Jena	LA	 71342	318-686-1213			
Collinsburg Cemetery	Clark Cemetery Road	Collinsburg	LA	 71064	318-326-3220			
Colonial Cemetery	Highway 51	Independence	LA	 70443	985-878-2338			
Columbarium of First United Methodist Church of BR	390 North Blvd.	Baton Rouge	LA	 70802	225-383-4777			
Columbarium of St. Charles Ave Presbyterian Churc	1545 State Street	New Orleans	LA	 70118	504-897-0101			
Colyell Baptist Church Cemetery	19524 Hwy. 42	Livingston	LA	 70754	225-698-3723			
Combre Memorial Park	2701 Opelousas Street	Lake Charles	LA	 70601	337-436-0514			
