Series	Page	True Page	Name	Address	City	State	Zip	Phone	License	Expiration	
1	3	3	Bayou Pines Fire Equip. Inc, dba FOCIS Tech.	141 Chinquapin Lane	DeRidder	LA	70634	3374623443	7459-072110-LA	7/21/2023	
1	3	3	Bearden Investigative Agency, Inc.	1341 W. Mockingbird Lane, Suite 820	Dallas	TX	75247	8009432670	9374-072618-LA	7/26/2023	
1	3	3	Bedell & Menke Investigations and Consulting, LLC	200 Mariners Plaza Drive, Ste. 207	Mandeville	LA	70448	5044155578	4700-121200-LA	12/12/2023	
1	3	3	Belumbra, L.L.C.	6244 Belle Grove Drive	Baton Rouge	LA	70820	2253086800	7623-032211-LA	3/22/2023	
1	3	3	Bertrand Private Investigating, LLC	415 West Magnolia St.	Ville Platte	LA	70586	3373636200	8300-032014-LA	6/10/2023	
1	3	3	Blue Eagle of Louisiana, LLC dba Blue Eagle Investigations	P.O. Box 320	Brownsboro	TX	75756	8007202583	10059-031622-LA	3/16/2023	
1	3	3	Bombet, Cashio & Associates	8335 Kelwood Ave.	Baton Rouge	LA	70806	2252750796	0022-030493-LA	11/14/2023	
1	3	3	Bond & Assoc. Private Invest. Agency	P O Box 12186	Alexandria	LA	71315	3184464888	1193-082394-LA	8/23/2023	
1	3	3	Bonner's Detective Agency, LLC	P O Box 342	Breaux Bridge	LA	70517	3372309463	4256-091699-LA	9/16/2023	
1	3	3	Booker's Detective Agency	5705 Bayou Drive	Bossier City	LA	71112	3187711887	9793-102720-LA	10/27/2023	
1	3	3	Bordelon Investigations & Process Server	PO Box 71	Center Point	LA	71323	3183598596	8041-012313-LA	1/23/2023	
1	3	3	Bouillion Investigations & Security Consulting LLC	707 West Pine Street	Erath	LA	70533	3375177745	9177-071917-LA	7/19/2023	
1	3	3	Brandt Investigative Services	P O Box 1196	Thibodaux	LA	70302	9854466400	5372-012703-LA	1/27/2023	
1	3	3	BRICS & WES, L3C	1215 Prytania Street, Suite 331	New Orleans	LA	70130	5042641397	8646-072815-LA	7/28/2023	
1	3	3	Bronston Drew Investigations	208 N. Barousse St.	Church Point	LA	70525	3373053763	9868-031821-LA	3/18/2023	
1	3	3	Broussard Executive Protection & Investigation, LLC	1311 Kings Row	Slidell	LA	70461	5048134363	9960-091021-LA	9/10/2023	
1	3	3	BSC Fire Services, LLC	1519 Vander Wilt Lane	Katy	TX	77449	8884053160	9557-052219-LA	5/22/2023	
1	3	3	Bull Investigation, LLC	6735 East Hermes Street	New Orleans	LA	70126	5044139958	10165-101822-LA	10/18/2023	
1	4	4	Burlwood Associates	P O Box 791970	New Orleans	LA	70179	2142131817	7662-051711-LA	1/27/2023	
1	4	4	C & C Investigations	3301 Pines Rd	Shreveport	LA	71119	3184705255	3483-111497-LA	11/14/2023	
1	4	4	C & L Investigations	3291 Grand Lake Dr.	Bossier City	LA	71111	3182727825	7485-092210-LA	9/22/2023	
1	4	4	C S I Investigations, Inc.	1000 Chinaberry Dr., Suite 202	Bossier City	LA	71111	3188692222	4941-091801-LA	9/18/2023	
1	4	4	C. W. Investigations, LLC	P O Box 4536	Monroe	LA	71211	3185099041	7044-021009-LA	2/10/2023	
1	4	4	C.M.S. Observation	P.O. Box 93005	Lafayette	LA	70509		9813-120120-LA	12/1/2023	
1	4	4	C.T. Investigations	120 Legend Lane	Carencro	LA	70520	3372785902	9555-052219-LA	5/22/2023	
1	4	4	CAC TV Investigations	P O Box 1221	Youngsville	LA	70592	5047227550	3900-121098-LA	12/10/2022	
1	4	4	CAPS Investigations, LLC	220 Stone Avenue	Lafayette	LA	70507	3373190061	6288-012306-LA	1/23/2024	
1	4	4	Cardinal Info Services, LLC	P.O. Box 852	Jennings	LA	70546	3375010937	1555-071395-LA	7/13/2023	
1	4	4	Carter Investigation	4966 Miles Drive	New Orleans	LA	70122	2255739229	9505-022619-LA	2/26/2023	
1	4	4	Catalyst Private Investigations, LLC	5860 Citrus Blvd. Suite D. #163	Harahan	LA	70123	5044588609	8503-012015-LA	1/20/2023	
1	4	4	Cenla Investigative Services, LLC	314 Dufour Street	Moreauville	LA	71355	3182643735	9180-071917-LA	7/19/2023	
1	4	4	Centanni Investigative Agency Inc.	16 Glenwood Avenue	Harahan	LA	70123	5043825558	0031-030493-LA	3/4/2023	
1	4	4	Centurion Research, LLC	201 Settlers Trace Blvd., # 2113	Lafayette	LA	70508	3372549758	7888-052312-LA	1/17/2023	
1	4	4	Certified Investigative Solutions, Inc.	P. O. Box 740934	New Orleans	LA	70131	5048136303	9541-050319-LA	5/3/2023	
1	4	4	Channing's Investigative Agency	708 Ridge Rd	Lafayette	LA	70506	3379842942	3717-051598-LA	10/12/2023	
1	4	4	Claims Bureau USA, Inc.	P O Box 2936	Woburn	MA	01888	8006510460	5672-020204-LA	2/2/2023	
1	4	4	Claims Investigation Agency	7171 Coralway, Suite 218	Miami	FL	33155	7865662843	10094-051922-LA	5/19/2023	
1	4	4	Classified Investigative Services	P.O. Box 231318	New Orleans	LA	70183	5046215033	6184-072005-LA	7/20/2023	
1	4	4	CMR Private Investigation, LLC	109 New Natchitoches Road	West Monroe	LA	71292	3185478574	9809-120120-LA	12/1/2022	
1	4	4	Coastal Services & Investigations, LLC	2256 Front Street	Slidell	LA	70458	5048127169	8973-092016-LA	11/13/2023	
1	4	4	Collins Investigative Services,  L.L.C.	131 T-Johns Road	Lake Charles	LA	70607	3378533965	6996-111908-LA	11/19/2023	
1	4	4	Commander Investigation	326 Coffee St	Mandeville	LA	70448	9859663776	5209-070202-LA	12/27/2022	
1	4	4	Comprehensive Investigations Inc.	P.O. Box 424	Port Allen	LA	70767	2257692000	0094-030493-LA	3/4/2023	
1	5	5	Confidential Investigative Associates Inc.	P O Box 81563	Lafayette	LA	70598	3378568995	0296-033093-LA	3/30/2023	
1	5	5	Confidential Research Services	224 Churchill Downs Dr	Bush	LA	70431	98550270009855027000	5981-011905-LA	1/19/2023	
1	5	5	Consolidated Inspection Agency Inc.	11934 Market Place	Baton Rouge	LA	70816	2252925640	0420-042793-LA	4/27/2023	
1	5	5	Constantino Fire Invest. & Conslultants, LLC	10338 Rustic Oak Drive	Baton Rouge	LA	70810	2258062747	8042-012313-LA	1/23/2023	
1	5	5	Consulting Services of Shreveport, Inc.	606 Woodvale Street	Shreveport	LA	71115	3184232500	9308-032018-LA	3/20/2023	
1	5	5	Contego Investigative Services, LLC	350 East Pine Street	Orlando	FL	32801	3212497600	8771-012016-LA	1/20/2023	
1	5	5	Continental Investigations of Louisiana	151 Sycamore Street	Raceland	LA	70394	5049082254	0452-042793-LA	1/30/2023	
1	5	5	Counterstrike Investigations Inc.	P O Box 738	Youngsville	LA	70592	3372770305	0264-033093-LA	3/30/2023	
1	5	5	CoventBridge Group	9485 Regency Square Blvd. Ste. 200	Jacksonville	FL	32225	8889327364	8064-022513-LA	2/25/2023	
1	5	5	Crawford Investigation Agency, LLC	1507 Fourth Street	Jonesville	LA	71343	3183398223	10045-022222-LA	2/22/2023	
1	5	5	Crescent Investigations, LLC	PO Box 6616	Metairie	LA	70009	5044156996	0158-030493-LA	3/4/2023	
1	5	5	Crown Professional Services, LLC	7721 Ridgewood Drive	Denham Springs	LA	70706	2254456223	9845-020821-LA	2/8/2023	
1	5	5	CRUX Investigations, LLC	P.O. Box 1982	Baton Rouge	LA	70821	2254471909	9310-032018-LA	3/20/2023	
1	5	5	Culpepper Professional Investigations	P.O.  Box 323	Quitman	LA	71268	3182431084	3262-060397-LA	6/3/2023	
1	5	5	Cusick Investigations, LLC	1019 Piety St.	New Orleans	LA	70117	5046699079	9104-032217-LA	10/20/2023	
1	5	5	D and M Investigative Services, LLC	801 Sandra Drive	Baker	LA	70714	2259552230	9680-012320-LA	1/23/2023	
1	5	5	D&A Investigations, LLC	P.O. Box 93113	Lafayette	LA	70509	3373193271	9582-071619-LA	2/4/2023	
1	5	5	D&D Investigative Services Inc.	P O Box 8207	Metairie	LA	70011	5048838338	0052-030493-LA	3/4/2023	
1	5	5	D.A. Frederick Investigations	P O Box 176	Perry	LA	70575	3372803182	0704-062993-LA	6/29/2023	
1	5	5	Dale Jones Investigations, LLC	107 Charnwood Drive	Carriere	MS	39426	6016133484	9795-102720-LA	10/27/2023	
1	5	5	Danielle Mickenberg, LLC	2455 Gladiolus Street	New Orleans	LA	70122	5082507851	9100-032217-LA	3/22/2023	
1	5	5	D'Arbonne Investigations	3992 Hwy 822	Dubach	LA	71235	3182453401	6716-082107-LA	8/21/2023	
1	5	5	Data Byte Recovery and Investigations	P O Box 3	Broussard	LA	70518	3376542057	3205-040497-LA	4/4/2023	
1	5	5	Deep South Investigations Inc.	1720 Stumpf Blvd. Ste 100	Terrytown	LA	70056	5042272107	0478-052593-LA	5/25/2023	
1	5	5	DeFatta & Associates LLC	P O Box 498	Keithville	LA	71047	3186359944	3333-080197-LA	8/1/2023	
1	6	6	Defense Investigators Group, Inc.	P O Box 119	Hanson	MA	02341	7812934777	7015-122308-LA	12/23/2023	
1	6	6	Delta Associated Investigations, Inc.	P O Box 3129	Suwanee	GA	30024	80032941439047042348	8169-091813-LA	9/18/2023	
1	6	6	Delta Investigations and Research Security Agency	P O Box 57675	New Orleans	LA	70157	5044537648	4566-073100-LA	7/31/2023	
1	6	6	DELTA RECON	304 Wyly Drive	Lake Providence	LA	71254	3182822622	3052-111596-LA	11/15/2023	
1	6	6	Deniesee Robertson	PO Box 2651	Patterson	LA	70392	9853972257	9182-071917-LA	7/19/2023	
1	6	6	Dennis Trocchiano Investigations	PO Box 1852	Chalmette	LA	70044	5046840012	1712-111695-LA	11/16/2023	
1	6	6	DES Investigations, LLC	82070 James Jenkins Rd.	Bush	LA	70431	9856302107	8927-071916-LA	7/19/2023	
1	6	6	Digistream South Florida, Inc.	417 Mace Blvd. J-129	Davis	CA	95618	8007474329	8821-032916-LA	3/29/2023	
1	6	6	DISA Global Solutions, Inc.	10900 Corporate Centre Dr., Ste.  250	Houston	TX	77041	2816732562	9735-060220-LA	6/2/2023	
1	6	6	Discovery Investigation Solutions, LLC	P O Box 53292	Shreveport	LA	71135	3184599123	8292-031914-LA	3/19/2023	
1	6	6	Discovery Investigations	250 International Parkway, Ste. 100	Lake Mary	FL	32746	8002172464	9440-103018-LA	10/30/2023	
1	6	6	Discreet Investigations	2113 E. Longhills Road	Benton	AR	72019	5017783304	6455-081806-LA	8/18/2023	
1	6	6	Discreet Investigative Services	512 Gordon Ave.	Harahan	LA	70123	5044515292	9955-081621-LA	8/16/2023	
1	6	6	DKR Executive Services LLC	10305 Oakline Drive	Baton Rouge	LA	70809	7033888102	8172-091813-LA	9/18/2023	
1	6	6	Dominion, LLC	70283 10th Street	Covington	LA	70433	5042376859	10002-111821-LA	11/18/2022	
1	6	6	Don Carter Detective Agency	3350 Ridgelake Drive, Suite 200	Metairie	LA	70002	5045595871	4978-100301-LA	12/4/2023	
1	6	6	Donan Engineering Co., Inc.	12450 Lake Station Place	Louisville	KY	40299	8004825611	8211-120213-LA	12/2/2023	
1	6	6	D-TECH, LLC	1612 Versailles Business Pkwy # 2010	Covington	LA	70471	6193066812	9866-031621-LA	3/16/2023	
1	6	6	Dugas Legal Investigative Services	PO Box 652	Schriever	LA	70395	9852621299	3232-051697-LA	5/16/2023	
1	6	6	Durke's Investigations	138 Landreaux Dr.	West Monroe	LA	71291	3186144527	5956-011905-LA	9/20/2023	
1	6	6	Eagle Acuity Investigations, LLC	P O Box 77056	Baton Rouge	LA	70879	22533031462259281822	8748-111715-LA	11/17/2023	
1	6	6	Eagle Eye Enterprises & Investigations	P O Box 641963	Kenner	LA	70064	5044328607	0331-042793-LA	4/27/2023	
1	6	6	Eagle Eye Investigators	1089 Chawee Rd.	Breaux Bridge	LA	70517	2252290770	4416-030900-LA	3/9/2023	
1	6	6	Echols & Associates	P O Box 6206	Slidell	LA	70469	9857741714	2089-100496-LA	10/4/2023	
1	6	6	EF Research, LLC	P.O.Box 77159	Baton Rouge	LA	97159	2252911498	4042-051499-LA	5/14/2023	
1	7	7	Effective Investigative Solutions, LLC	P O Box 744	Marrero	LA	70073	5049570052	6185-072005-LA	7/20/2023	
1	7	7	EFI Global Inc.	3010 Lakeland Cove, Ste. E	Flowood	MS	39232	6013973473	5739-051804-LA	10/6/2023	
1	7	7	Eladio J. Valdez III	3157 Gentilly Blvd., Box 105	New Orleans	LA	70122	3129897700	9131-051817-LA	5/18/2023	
1	7	7	Encore Investigations & Consulting Comp. LLC	P O Box 2642	Crowley	LA	70527	3374581244	6332-032106-LA	3/21/2023	
1	7	7	Envista Forensics, LLC	3002 Dow Ave. #120	Tustin	CA	92780	8887823473	6405-061406-LA	5/22/2023	
1	7	7	ERMS Special Investigations and Recovery LLC	P O Box 11944	Alexandria	LA	71315	3186640572	6774-111607-LA	11/16/2023	
1	7	7	Espy Investigations	15823 Chantilly Ave.	Baton Rouge	LA	70817	2252790890	9975-093021-LA	9/30/2023	
1	7	7	Ethan Brown, LLC	4925 Constance Street	New Orleans	LA	70115	9175847955	10175-110322-LA	11/3/2023	
1	7	7	Ethos Risk Services, LLC	P.O. Box 55246	St. Petersburg	FL	33732	8667830525	8551-031215-LA	3/12/2023	
1	7	7	Exemplar Enterprises Inc.	P O Box 467	Westwego	LA	70096	5043286989	0485-052593-LA	5/25/2023	
1	7	7	Fact Finder Investigations	918 Saint Charles  Street	Lafayette	LA	70501	8325155050	9506-022619-LA	2/26/2023	
1	7	7	Falcon's Private Investigations, L.L.C.	106 Landry Street	Donaldsonville	LA	70346	2253234114	8225-120913-LA	12/9/2022	
1	7	7	Financial Risk Mitigation, Inc.	2332 North Arnoult Rd	Metairie	LA	70001	5046200686	5806-072104-LA	7/21/2023	
1	7	7	Fire Cause Investigations	12785 State Hwy. 64  East	Tyler	TX	75707	9035661980	1937-052296-LA	5/13/2023	
1	7	7	Firensics, Inc.	1410 Lakeside Parkway, Ste 100	Flower Mound	TX	75028	2146416505	9128-051817-LA	11/15/2023	
1	7	7	First Advantage Background Services Corp.	1 Concourse Parkway NE, Suite 200	Atlanta	GA	30328	6787107262	3870-111298-LA	11/12/2023	
1	7	7	Focus Investigations & Research, LLC	P O Box 1505	Hammond	LA	70404	9855174000	6186-072005-LA	7/20/2023	
1	7	7	Forensic Investigations Group, L.L.C.	82001 Hwy 1129	Covington	LA	70435	9858711459	5524-072303-LA	7/23/2023	
1	7	7	Forensic Research Digest,Inc. dba David Cook Invest.	1615 Poydras Street, Ste. 900	New Orleans	LA	70112	5045345339	9650-111919-LA	11/19/2023	
1	7	7	Foresight, LLC	4636 Sanford St.	Metairie	LA	70006	5046286413	0283-033093-LA	3/30/2023	
1	7	7	Frank McCardell Investigator	109 Alonda Dr	Lafayette	LA	70503	3379892086	0255-033093-LA	3/30/2023	
1	7	7	Frasco, Inc.	215 W. Alameda Avenue	Burbank	CA	91502	8772727261	8766-011916-LA	1/19/2024	
1	7	7	Fraud Fighters, Inc. dba Prodigy Investigations	2600 Michelson Dr., Suite 160	Irvine	CA	92612	8005766116	9972-092721-LA	9/27/2023	
1	7	7	Frazier & Associates Investigative Services	P.O. Box 29391	New Orleans	LA	70189	9858636010	3845-102198-LA	10/21/2023	
1	7	7	Full Spectrum Investigation & Consultant Agency LLC	14712 Brightview Court	Baton Rouge	LA	70819	2252200039	9214-091917-LA	9/19/2023	
1	8	8	Gary Eldredge Criminal Investigations	205 S Scott St	New Orleans	LA	70119	5045250944	0221-033093-LA	3/30/2023	
1	8	8	GEB Investigations	4599 Beech Springs Rd	Quitman	LA	71268	3183938590	5117-040302-LA	4/3/2023	
1	8	8	Genesis Information Services, Inc	9029 Jefferson Hwy, Ste. D-109	New Orleans	LA	70123	5042529133	7739-082211-LA	8/22/2023	
1	8	8	Georgantas Claims Service, Inc.	1770 S. Randall Rd., #A150	Geneva	IL	60134	8883653940	9964-092121-LA	9/21/2023	
1	8	8	Gibson Investigations Agency, LLC	425 South 20th Street	Baton Rouge	LA	70806	5042378696	9269-011818-LA	1/18/2023	
1	8	8	Gillespie Forensics and Investigations	2501 South Bagdad Road, Ste. B	Leander	TX	78641	5126805851	7311-011910-LA	1/19/2023	
1	8	8	Gillian E. Ross L.L.C.	P O Box 19501	New Orleans	LA	70179	7138203011	7533-112210-LA	11/22/2023	
1	8	8	Global Data Fusion, LLC dba Ed Roy, Ltd.	P O Box 53889	Lafayette	LA	70505	3372333816	6333-032106-LA	3/21/2023	
1	8	8	Global Investigations Inc.	P O Box 473	Fayetteville	GA	30214	4705290537	5805-072104-LA	7/21/2023	
1	8	8	Global Investigations of Louisiana, LLC	118 Cobb Road	Lake Charles	LA	70607	3376050152	8253-012114-LA	1/21/2023	
1	8	8	Godeau's Private Investigative Services, LLC	P O Box 799	Iota	LA	70543	3375805921	9412-091818-LA	9/18/2023	
1	8	8	Godfrey & Associates Property Mgmt. LLC	P O Box 217	Brusly	LA	70719	2252293937	7043-021009-LA	2/10/2023	
1	8	8	Grandeur Private Investigations	8301 Twin Bridges Road	Elmer	LA	71424	3185413618	9209-091917-LA	9/19/2023	
1	8	8	Gravel Investigations	P O Box 5066	Alexandria	LA	75066	3184432021	0073-030493-LA	3/4/2023	
1	8	8	Great or Small Investigations Agency (G.S.I.) Inc	313 Beaupre Dr	Luling	LA	70070	5044873383	4962-091801-LA	9/18/2023	
1	8	8	GTL Investigations Unlimited, LLC	601 Glover Street	Lake Charles	LA	70605	3375261515	0652-062993-LA	11/15/2022	
1	8	8	Guice Private Investigation Agency L.L.C.	174 Ellis Landing Road	Harrisonburg	LA	71340	3187580000	3676-040998-LA	4/9/2023	
1	8	8	Gulf Coast Fire Invest., Research & Education, LLC	261 Chapel Loop	Mandeville	LA	70471	9858453065	8561-031715-LA	3/17/2023	
1	8	8	Gulf Coast Investigative Services, LLC	P.O. Box 80914	Lafayette	LA	70598	7037256140	10000-111721-LA	11/17/2023	
1	8	8	H & A Private Investigation Consultants, LLC	P.O. Box 770	Gramercy	LA	70052	9852124950	9967-092321-LA	9/23/2022	
1	8	8	H.L.M. & Associates, LLC	P O Box 71502	Metairie	LA	70033	5044919176	5746-051804-LA	7/8/2022	
1	8	8	Hahn Investigative Services Inc.	1234 Verdun Dr	Baton Rouge	LA	70810	2257666616	0078-030493-LA	3/4/2023	
1	8	8	Halbert, Gereighty and Associates	4 Billyday Ave	Kenner	LA	70065	5044177777	3308-071697-LA	7/16/2023	
1	8	8	Haley Investigative Services	6124 W. Azalea Drive	Lake Charles	LA	70605	3374782392	3163-031297-LA	3/12/2023	
1	8	8	Hall and Associates	P O Box 1193	Shreveport	LA	71163	3187974227	3914-011999-LA	1/19/2023	
1	9	9	Hanrahan Investigations, Inc.	4413 Roosevelt Road, Suite 110	Hillside	IL	60162	7083431888	8745-111715-LA	11/17/2023	
1	9	9	Hawk Eye Investigations and Recovery, LLC	67916 Brook Dove Drive	Covington	LA	70433	9854008789	9969-092321-LA	9/23/2023	
1	9	9	Hawkeye Investigations, LLC	1295 Clearwater Drive	Mandeville	LA	70471	9859512232	9863-031621-LA	3/16/2023	
1	9	9	Hazelwood Recovery and Investigations	P O Box 38	Loreauville	LA	70552	33738085473379446043	5840-072704-LA	7/27/2023	
1	9	9	Henderson Investigations & Consulting, LLC	10053 Florida Blvd., #537	Walker	LA	70785	2254135463	9986-101421-LA	10/14/2023	
1	9	9	HireRight, LLC	100 Centerview Drive, Suite 300	Nashville	TN	37214	6155772439	6925-072308-LA	7/23/2023	
1	9	9	Holmes Detective Agency LLC	P O Box 29251	Shreveport	LA	71149	3182942191	8163-090413-LA	11/13/2023	
1	9	9	Homan & Associates	2800 Youree Drive #470	Shreveport	LA	71104	3185053859	8685-090115-LA	7/16/2023	
1	9	9	Homeland Investigations	34 Moss Drive	LaPlace	LA	70068	85566527415042342665	6912-070908-LA	7/9/2023	
1	9	9	Hookfin Bail Bonds & Legal Services, LLC	10030 Hwy 449	Greensburg	LA	70441	9852478787	9998-111721-LA	11/17/2022	
1	9	9	Hot Poker of Justice, LLC	4148 Palm Street	Baton Rouge	LA	70808	3377948873	9896-051021-LA	5/10/2023	
1	9	9	Hovey Investigations & Associates, LLC	210 Sleepy Hollow Dr	Lafayette	LA	70506	3372987354	6662-052207-LA	7/5/2023	
1	9	9	Hub Enterprises, LLC	P O Box 3162	Lafayette	LA	70502	8008730933	0439-042793-LA	4/27/2023	
